Query,Sentiment,AI Reply,Feedback
"This is terrible, I want a refund!",very negative,"This is terrible, I want a refund!",yes
Why hasnt my order arrived yet? Its been over 10 days and I havent received any updates.,very negative,"It's been over 10 days and I haven't received any updates. It's been over 10 days and I haven't received any updates. To reset your password, click on 'Forgot Password' on the login screen and follow the email instructions.",no
Why hasnt my order arrived yet? Its been over 10 days and I havent received any updates.,very negative,"We apologize for the delay in your order. We apologize for any inconvenience caused and we will do our best to resolve the issue as soon as possible. Please let us know if there is anything else we can do to help. Sincerely, [Your Name]",yes
Why hasnt my order arrived yet? Its been over 10 days and I havent received any updates.,very negative,"Thank you for your patience and understanding. We apologize for the delay in your order and hope you are doing well. We apologize for any inconvenience caused and we will do our best to resolve the issue as soon as possible. We look forward to hearing from you soon. Sincerely, Example.",yes
Why hasnt my order arrived yet? Its been over 10 days and I havent received any updates.,very negative,"We apologize for the delay in your order. We apologize for any inconvenience caused and we will do our best to resolve the issue as soon as possible. Please let us know if there is anything else we can do to help. Sincerely, [Your Name]",no
Why hasnt my order arrived yet? Its been over 10 days and I havent received any updates.,very negative,"We apologize for the delay in your order. We apologize for any inconvenience caused and we will do our best to resolve the issue as soon as possible. Please let us know if there is anything else we can do to help. Sincerely, [Your Name]",yes
hello when my order will come,very positive,"Thank you for your inquiry. We apologize for any inconvenience caused. We appreciate your patience and will do our best to ensure that your order is processed and delivered as quickly and smoothly as possible. We look forward to hearing from you soon. Sincerely, Huddle Support Team",yes
when my order will come can you tell me,very positive,"We apologize for the inconvenience caused. We apologize for any inconvenience this may have caused you. We appreciate your understanding and hope that you will be able to get your order processed as soon as possible. We look forward to hearing from you soon. Sincerely, Huddle Support Team",Yes
i hate you app my order is delayed,very negative,"I apologize for the delay in your order. We apologize for any inconvenience this may have caused. We will do our best to ensure that your order is processed and delivered as quickly as possible. Please let us know if there is anything else we can do to help. Sincerely, Huddle Support Team",Yes
How do I reset my password?,very negative,We apologize for the inconvenience caused. We apologize for any inconvenience caused. We will do our best to resolve the issue as soon as possible. Thank you for your patience and understanding.,Yes
How do I update my account details?,very negative,We apologize for the inconvenience caused. We apologize for the inconvenience caused and we will do our best to resolve the issue as soon as possible. Thank you for your patience and understanding.,Yes
How do I reset my password?,very negative,We apologize for the inconvenience caused. We apologize for any inconvenience caused. We will do our best to resolve the issue as soon as possible. Thank you for your patience and understanding.,
i am feeling very bad where is my order,very negative,We apologize for the inconvenience caused by your order. We will do our best to ensure that your order is processed and delivered as quickly and smoothly as possible. Please let us know if there is anything else we can do to help you.,
How do I update my account details?,very negative,We apologize for the inconvenience caused. We apologize for the inconvenience caused and we will do our best to resolve the issue as soon as possible. Thank you for your patience and understanding.,
i hate you app my order is delayed,very negative,"I apologize for the delay in your order. We apologize for any inconvenience this may have caused. We will do our best to ensure that your order is processed and delivered as quickly as possible. Please let us know if there is anything else we can do to help. Sincerely, Huddle Support Team",Yes
Where is my refund?,very negative,We apologize for the inconvenience caused. We apologize for the inconvenience caused and we will do our best to resolve the issue as soon as possible. We apologize for any inconvenience caused and we will do our best to resolve the issue as soon as possible. Thank you for your patience and understanding.,Yes
How do I reset my password?,very negative,We apologize for the inconvenience caused. We apologize for any inconvenience caused. We will do our best to resolve the issue as soon as possible. Thank you for your patience and understanding.,Yes
 hello where is order can you please tell,very positive,"Thank you for your inquiry. We apologize for the inconvenience caused. We are happy to provide you with an estimated delivery time for your order. Please let us know if there is anything else we can help you with. We look forward to hearing from you soon. Sincerely, Huddle Support Team",Yes
How do I update my account details?,very negative,We apologize for the inconvenience caused. We apologize for the inconvenience caused and we will do our best to resolve the issue as soon as possible. Thank you for your patience and understanding.,Yes
1. Why is your service so bad? 2. Where is my refund? This is unacceptable!,very negative,Thank you for choosing Example. We apologize for any inconvenience caused by your order. We will do our best to resolve the issue as soon as possible. Please let us know if there is anything else we can do to help you.,Yes
1. Why is your service so bad?,very negative,"We apologize for the delay in your order. We appreciate your understanding and patience. We apologize for any inconvenience this may have caused. We will do our best to resolve the issue as soon as possible. Thank you for choosing Example. We look forward to hearing from you soon. Sincerely, Huddle Support Team",Yes
How do I update my account details?,very negative,We apologize for the inconvenience caused. We apologize for the inconvenience caused and we will do our best to resolve the issue as soon as possible. Thank you for your patience and understanding.,
I want to cancel my order it is coming too late,very negative,"We apologize for the delay in processing your order. We will do our best to ensure that your order is processed and delivered within 5 to 7 business days. Please let us know if there is anything else we can do to help you. Thank you for your patience and understanding. Sincerely, Huddle Support Team",
I want to cancel my order it is coming too late,very negative,"We apologize for the delay in processing your order. We will do our best to ensure that your order is processed and delivered within 5 to 7 business days. Please let us know if there is anything else we can do to help you. Thank you for your patience and understanding. Sincerely, Huddle Support Team",
How do I update my account details?,very negative,We apologize for the inconvenience caused. We apologize for the inconvenience caused and we will do our best to resolve the issue as soon as possible. Thank you for your patience and understanding.,
